id,x,y,theta
0,10,0,1.5708
1,9.91828,0.607532,1.6477
2,9.9283,1.23557,1.71402
3,9.78482,1.94959,1.76236
4,9.65156,2.63634,1.81919
5,9.48116,3.195,1.88002
6,9.2976,3.75304,1.95302
7,9.07485,4.2992,2.02236
8,8.74139,4.83523,2.0699
9,8.39427,5.37404,2.13444
10,8.02265,5.83742,2.19304
11,7.72444,6.37792,2.24275
12,7.2625,6.8024,2.31057
13,6.78005,7.25916,2.37176
14,6.37495,7.77134,2.42138
15,5.94118,8.20846,2.47813
16,5.45634,8.58863,2.54565
17,4.81716,8.92613,2.60451
18,4.24371,9.21161,2.67064
19,3.57852,9.48709,2.73385
20,2.96341,9.60807,2.77952
21,2.34725,9.76375,2.86588
22,1.67728,9.83978,2.94318
23,1.06235,9.9044,2.99381
24,0.469084,10.0323,3.05248
25,-0.221766,10.065,3.10113
26,-0.857135,9.97857,-3.12792
27,-1.55474,9.95235,-3.0679
28,-2.14554,9.90697,-3.00839
29,-2.81926,9.7649,-2.94147
30,-3.43193,9.58848,-2.87149
31,-4.03814,9.32571,-2.82286
32,-4.58175,9.02754,-2.76222
33,-5.20159,8.72237,-2.70573
34,-5.76379,8.2921,-2.63907
35,-6.34466,7.97572,-2.57074
36,-6.80735,7.57662,-2.50671
37,-7.33831,7.21464,-2.45445
38,-7.7485,6.84074,-2.41077
39,-8.17983,6.37568,-2.35117
40,-8.53523,5.87105,-2.28811
41,-8.8928,5.45357,-2.22352
42,-9.15435,4.86707,-2.15827
43,-9.4679,4.28633,-2.10114
44,-9.69382,3.78599,-2.04394
45,-9.89054,3.1746,-1.99343
46,-10.134,2.62186,-1.94363
47,-10.2416,2.03455,-1.87973
48,-10.2724,1.48435,-1.82965
49,-10.2744,0.902067,-1.7704
50,-10.2197,0.338334,-1.70208
51,-10.1117,-0.226816,-1.63588
52,-10.0824,-0.738384,-1.57221
53,-9.99159,-1.36668,-1.51386
54,-9.85236,-2.03542,-1.46808
55,-9.69764,-2.70385,-1.4123
56,-9.42013,-3.36893,-1.33797
57,-9.21041,-3.92881,-1.2726
58,-8.98099,-4.46527,-1.21212
59,-8.69975,-5.14003,-1.15576
60,-8.32656,-5.61261,-1.09126
61,-8.00665,-6.06498,-1.03326
62,-7.50524,-6.53684,-0.967519
63,-7.0154,-6.92528,-0.902278
64,-6.67481,-7.37255,-0.836549
65,-6.14431,-7.79316,-0.772172
66,-5.66585,-8.17213,-0.716212
67,-5.10867,-8.47584,-0.662602
68,-4.61554,-8.78757,-0.595186
69,-4.03273,-9.05094,-0.524988
70,-3.4594,-9.25736,-0.458564
71,-2.83828,-9.44045,-0.39036
72,-2.25532,-9.59952,-0.329084
73,-1.65184,-9.7526,-0.266863
74,-0.979045,-9.838,-0.201523
75,-0.418525,-9.86369,-0.130249
76,0.303892,-9.88148,-0.0712428
77,0.90097,-9.75256,-0.00823921
78,1.46937,-9.68328,0.0593929
79,2.08718,-9.49974,0.109748
80,2.71414,-9.29919,0.171702
81,3.30054,-9.07647,0.228374
82,3.912,-8.86362,0.294902
83,4.51134,-8.56297,0.352727
84,5.01908,-8.22089,0.439472
85,5.58173,-7.88054,0.507826
86,6.07531,-7.45516,0.575089
87,6.53558,-6.99472,0.645271
88,6.94626,-6.46906,0.694478
89,7.48274,-6.02061,0.752986
90,7.85113,-5.61207,0.808369
91,8.25848,-5.1015,0.875927
92,8.59131,-4.62035,0.945556
93,8.85089,-4.13213,1.00628
94,9.18935,-3.54181,1.08878
95,9.36516,-2.93872,1.15366
96,9.48743,-2.31749,1.21098
97,9.63488,-1.78251,1.26875
98,9.76378,-1.15284,1.31649
99,9.83571,-0.433634,1.37923
100,34.8884,0.293876,1.44935
101,34.8841,0.931959,1.51574
102,34.8168,1.6086,1.57858
103,34.7319,2.16024,1.64665
104,34.5476,2.74243,1.72717
105,34.3801,3.43637,1.7768
106,34.1247,4.07663,1.85227
107,33.8962,4.78801,1.92349
108,33.6038,5.26159,1.99295
109,33.2164,5.84067,2.06198
110,32.9424,6.29739,2.12538
111,32.591,6.78162,2.19737
112,32.182,7.25541,2.27193
113,31.6932,7.68945,2.33615
114,31.2949,8.11422,2.40913
115,30.7236,8.45009,2.47136
116,30.1503,8.71799,2.54036
117,29.5712,9.07727,2.61903
118,28.9707,9.40239,2.68307
119,28.4826,9.70463,2.73097
120,27.9171,9.93631,2.78979
121,27.3101,10.1044,2.84427
122,26.6067,10.2209,2.91323
123,25.9362,10.2768,2.98854
124,25.2657,10.3471,3.04464
125,24.66,10.4671,3.10329
126,24.0613,10.5115,-3.1355
127,23.4168,10.4839,-3.05962
128,22.8279,10.3836,-2.995
129,22.2286,10.2917,-2.93249
130,21.5987,10.0914,-2.87585
131,21.0498,9.84773,-2.80314
132,20.4339,9.58438,-2.73338
133,19.8755,9.39629,-2.68362
134,19.2898,9.10415,-2.62455
135,18.7787,8.74344,-2.57101
136,18.3358,8.33351,-2.50569
137,17.8869,7.97462,-2.44294
138,17.4301,7.54276,-2.3913
139,16.9316,7.05147,-2.32337
140,16.5173,6.53454,-2.25239
141,16.096,6.01085,-2.2005
142,15.8151,5.45467,-2.12954
143,15.5193,4.91138,-2.0542
144,15.3934,4.30448,-1.98384
145,15.2046,3.59689,-1.92527
146,15.0542,2.98278,-1.86435
147,14.9846,2.40651,-1.80422
148,14.8678,1.84347,-1.73742
149,14.7314,1.16193,-1.67184
150,14.6596,0.504992,-1.61602
151,14.7183,-0.0841498,-1.54245
152,14.7533,-0.706018,-1.48182
153,14.78,-1.43045,-1.42589
154,15.0815,-1.97966,-1.36128
155,15.2184,-2.58567,-1.30013
156,15.4868,-3.18143,-1.23949
157,15.6815,-3.70219,-1.16229
158,16.0967,-4.18593,-1.10495
159,16.4236,-4.65556,-1.04316
160,16.7087,-5.26441,-0.978633
161,17.103,-5.67827,-0.910467
162,17.5435,-6.08018,-0.861218
163,17.9127,-6.53435,-0.798145
164,18.3197,-6.9307,-0.730501
165,18.8473,-7.26723,-0.657422
166,19.3484,-7.47089,-0.586543
167,19.8628,-7.74758,-0.516472
168,20.434,-8.04202,-0.460465
169,21.008,-8.36209,-0.39276
170,21.5252,-8.57188,-0.32381
171,22.1879,-8.789,-0.267816
172,22.8423,-8.93589,-0.188107
173,23.4582,-8.96808,-0.130324
174,24.0407,-9.01562,-0.062495
175,24.6062,-9.06938,0.0194684
176,25.2332,-9.09747,0.0957053
177,25.8198,-9.05351,0.163501
178,26.47,-8.97747,0.218691
179,27.1027,-8.82687,0.287155
180,27.6806,-8.73146,0.350157
181,28.1702,-8.5495,0.405897
182,28.6996,-8.32529,0.454731
183,29.2912,-8.05,0.50196
184,29.8409,-7.79205,0.569053
185,30.3706,-7.46406,0.631948
186,30.9319,-7.09181,0.699438
187,31.325,-6.66177,0.767827
188,31.8032,-6.30856,0.843188
189,32.1663,-5.81588,0.900439
190,32.5114,-5.27476,0.957497
191,32.7913,-4.71972,1.01937
192,33.1504,-4.16751,1.0914
193,33.4708,-3.56925,1.15455
194,33.7578,-2.95179,1.22846
195,33.9051,-2.36682,1.30681
196,34.1358,-1.62633,1.3584
197,34.2902,-1.035,1.42017
198,34.3801,-0.424067,1.47506
199,34.5129,0.135949,1.53633
200,59.5022,0.79321,1.59829
201,59.4465,1.42558,1.65746
202,59.3215,2.00818,1.72425
203,59.1808,2.55398,1.78757
204,59.0271,3.25478,1.85554
205,58.8752,3.75476,1.92697
206,58.6953,4.31575,1.98632
207,58.4735,4.88052,2.03841
208,58.1614,5.42896,2.1161
209,57.8125,5.9609,2.18305
210,57.482,6.55584,2.23896
211,57.1372,7.04874,2.29685
212,56.7527,7.46662,2.35814
213,56.2974,7.80919,2.42116
214,55.8974,8.19204,2.48503
215,55.3493,8.59544,2.55134
216,54.8324,8.96442,2.6158
217,54.3311,9.33856,2.67088
218,53.7632,9.63301,2.74366
219,53.1746,9.93527,2.80608
220,52.5422,10.1978,2.8642
221,51.8456,10.4273,2.92349
222,51.2429,10.5588,2.97723
223,50.5627,10.6159,3.04151
224,49.947,10.712,3.1007
225,49.2936,10.7556,-3.12789
226,48.654,10.6886,-3.08106
227,48.0961,10.6608,-3.01575
228,47.4553,10.4818,-2.93174
229,46.7697,10.3093,-2.86957
230,46.2047,10.116,-2.80418
231,45.5552,9.89689,-2.73879
232,44.9658,9.70396,-2.66629
233,44.4906,9.43661,-2.60761
234,43.9181,9.09487,-2.55166
235,43.3855,8.73119,-2.48027
236,42.8226,8.30288,-2.43032
237,42.395,7.81311,-2.37412
238,41.973,7.34148,-2.31148
239,41.5759,6.82038,-2.24204
240,41.1076,6.29069,-2.1873
241,40.9092,5.81742,-2.12022
242,40.5449,5.35585,-2.04858
243,40.123,4.84574,-1.97283
244,39.818,4.15146,-1.91568
245,39.5991,3.51448,-1.84108
246,39.469,2.94783,-1.79484
247,39.3376,2.35077,-1.7443
248,39.2386,1.81698,-1.67521
249,39.1559,1.14791,-1.61352
250,39.0908,0.577506,-1.54729
251,39.1493,-0.105394,-1.48128
252,39.2103,-0.657308,-1.40678
253,39.2102,-1.24176,-1.33332
254,39.2891,-1.83976,-1.27273
255,39.3232,-2.44796,-1.20746
256,39.5195,-3.04472,-1.13683
257,39.7317,-3.6165,-1.06395
258,40.0426,-4.17278,-0.997794
259,40.2671,-4.78591,-0.94085
260,40.6601,-5.30189,-0.897808
261,41.0752,-5.63709,-0.844986
262,41.4861,-6.16896,-0.796038
263,42.0263,-6.66259,-0.736267
264,42.5373,-7.09627,-0.678479
265,42.9488,-7.44378,-0.617362
266,43.4582,-7.95492,-0.573145
267,43.9947,-8.30438,-0.524248
268,44.5307,-8.59754,-0.465141
269,45.0742,-8.78257,-0.413436
270,45.7277,-9.00478,-0.3496
271,46.3508,-9.22308,-0.286198
272,47.024,-9.35098,-0.219657
273,47.6748,-9.41996,-0.152171
274,48.3901,-9.46303,-0.0814402
275,49.03,-9.49766,-0.0341783
276,49.6604,-9.42642,0.0180369
277,50.3247,-9.41532,0.0759307
278,50.8807,-9.37418,0.149287
279,51.3977,-9.22702,0.203238
280,51.9412,-9.01415,0.263122
281,52.5929,-8.82937,0.316875
282,53.1354,-8.5313,0.38639
283,53.6978,-8.24586,0.445363
284,54.1813,-7.91507,0.505919
285,54.756,-7.5675,0.58062
286,55.2535,-7.23432,0.641875
287,55.7483,-6.6965,0.709602
288,56.2028,-6.18663,0.781888
289,56.5936,-5.69439,0.837343
290,56.9871,-5.17866,0.909534
291,57.4698,-4.5966,0.97245
292,57.7474,-3.93663,1.01508
293,58.074,-3.31792,1.09193
294,58.2548,-2.62848,1.15889
295,58.4037,-2.03373,1.22417
296,58.5793,-1.43031,1.28202
297,58.7689,-0.893092,1.35551
298,58.8932,-0.286123,1.4227
299,58.9039,0.397218,1.4766
0,8.94327,0.936243,1.59196
100,33.89,0.962917,1.57992
0,8.83292,1.08768,1.51613
